team_a,team_b,venue,round,team_a_rest_days,team_b_rest_days
Argentina,France,New York/New Jersey,Final,7,7
Brazil,England,Los Angeles,Semifinal,4,4
Spain,Germany,Dallas,Quarterfinal,4,4
Portugal,Netherlands,Miami,Quarterfinal,4,4
USA,Mexico,Dallas,Round of 16,4,4
Morocco,Spain,Houston,Round of 16,4,4
Japan,Germany,Los Angeles,Round of 32,3,3
Canada,Belgium,Toronto,Round of 32,3,3
Argentina,Australia,Miami,Round of 16,4,4
France,Poland,Atlanta,Round of 32,3,3
Brazil,Switzerland,Los Angeles,Quarterfinal,4,4
England,Senegal,Philadelphia,Round of 16,4,4
Croatia,Japan,Seattle,Round of 32,3,3
USA,Iran,Los Angeles,Group Stage,5,5
Brazil,Mexico,Dallas,Group Stage,5,5
Argentina,USA,New York/New Jersey,Group Stage,5,5
Germany,Japan,Los Angeles,Group Stage,5,5
Spain,Morocco,Atlanta,Group Stage,5,5
France,Australia,Miami,Group Stage,5,5
England,USA,San Francisco Bay Area,Group Stage,5,5
South Korea,Ghana,Houston,Group Stage,5,5
Canada,Belgium,Toronto,Group Stage,5,5
Turkey,Denmark,Boston,Group Stage,5,5
Colombia,Serbia,Kansas City,Group Stage,5,5
