team,flag,confederation,elo,power_score,attack,defense,midfield,goalkeeping,depth,recent_form,tournament_experience,volatility,style_tag
Argentina,🇦🇷,CONMEBOL,2142,94,91,88,90,89,85,92,97,25,Total Football
France,🇫🇷,UEFA,2127,93,93,87,91,88,90,90,95,28,Counter-Attack Kings
Brazil,🇧🇷,CONMEBOL,2112,92,94,85,92,86,82,88,96,30,Samba Magic
England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,UEFA,2054,88,87,84,86,85,86,85,90,35,Press & Pace
Spain,🇪🇸,UEFA,2048,87,83,86,90,82,80,86,88,22,Tiki-Taka Evolved
Portugal,🇵🇹,UEFA,2044,87,88,82,85,83,84,87,89,32,Star Power
Germany,🇩🇪,UEFA,2032,86,85,85,86,84,83,88,92,20,Organized Chaos
Netherlands,🇳🇱,UEFA,2020,85,86,83,84,84,82,84,88,38,Total Football DNA
Belgium,🇧🇪,UEFA,1995,83,85,80,82,81,80,80,87,30,Golden Generation
Croatia,🇭🇷,UEFA,1985,82,80,82,85,88,80,78,94,25,Midfield Maestros
Italy,🇮🇹,UEFA,1978,81,78,87,84,83,82,75,91,22,Defensive Wall
Uruguay,🇺🇾,CONMEBOL,1967,80,82,80,78,80,78,76,90,28,Garra Charrúa
Colombia,🇨🇴,CONMEBOL,1952,79,80,77,78,79,76,78,82,40,Energetic Underdogs
USA,🇺🇸,CONCACAF,1934,77,78,74,76,74,75,80,70,42,Athletic Press
Mexico,🇲🇽,CONCACAF,1926,76,75,73,76,75,72,77,78,38,Technical Flair
Canada,🇨🇦,CONCACAF,1910,74,76,72,73,72,73,72,65,45,Rising Force
Japan,🇯🇵,AFC,1904,73,72,74,75,73,72,70,74,30,High Press Collective
South Korea,🇰🇷,AFC,1896,72,70,72,73,70,70,68,72,32,Industrial Runners
Morocco,🇲🇦,CAF,1888,71,70,76,72,71,74,70,75,28,Desert Wolves
Senegal,🇸🇳,CAF,1876,70,72,70,70,68,71,68,72,35,Physical Lions
Ghana,🇬🇭,CAF,1845,67,70,65,67,66,65,65,70,42,Black Stars Energy
Australia,🇦🇺,AFC,1842,67,67,67,66,65,66,64,70,38,Socceroos Grit
Switzerland,🇨🇭,UEFA,1938,78,75,79,78,76,78,79,82,25,Tactical Precision
Denmark,🇩🇰,UEFA,1932,77,74,78,77,75,76,76,80,28,Organized Power
Serbia,🇷🇸,UEFA,1920,76,78,73,74,73,74,72,76,38,Attack Minded
Poland,🇵🇱,UEFA,1905,74,76,72,72,71,72,70,74,35,Lewandowski Effect
Ecuador,🇪🇨,CONMEBOL,1892,72,72,70,71,69,70,68,72,40,High Altitude Warriors
Chile,🇨🇱,CONMEBOL,1876,70,73,68,70,70,68,66,74,35,Pressing Machine
South Africa,🇿🇦,CAF,1820,62,63,62,61,60,62,60,65,50,Bafana Rising
Turkey,🇹🇷,UEFA,1898,73,75,70,72,72,71,70,72,42,Passionate Underdogs
Paraguay,🇵🇾,CONMEBOL,1845,66,65,67,65,63,65,62,70,40,Defensive Block
Austria,🇦🇹,UEFA,1912,74,74,72,73,72,73,72,74,35,Tactical Evolution
